Date,RLR
1936-05-01, 6947.
1936-06-01, 6926.
1936-07-01, 6897.
1936-08-01, 6853.
1936-09-01, 6905.
1936-10-01, 6934.
1936-11-01, 6975.
1936-12-01, 6865.
1937-01-01, 6925.
1937-02-01, 6983.
1937-03-01, 7030.
1937-04-01, 6945.
1937-05-01, 6889.
1937-06-01, 6902.
1937-07-01, 6883.
1937-08-01, 6919.
1937-09-01, 6970.
1937-10-01, 7018.
1937-11-01, 7050.
1937-12-01, 7041.
1938-01-01, 6866.
1938-02-01, 6814.
1938-03-01, 6737.
1938-04-01, 6832.
1938-05-01, 6884.
1938-06-01, 6831.
1938-07-01, 6830.
1938-08-01, 6878.
1938-09-01, 6931.
1938-10-01, 6937.
1938-11-01, 6946.
1938-12-01, 7009.
1939-01-01, 7006.
1939-02-01, 6854.
1939-03-01, 6837.
1939-04-01, 6895.
1939-05-01, 6934.
1939-06-01, 6928.
1939-07-01, 6911.
1939-08-01, 6916.
1939-09-01, 6965.
1939-10-01, 7031.
1939-11-01, 6924.
1939-12-01, 7006.
1940-01-01, 6984.
1940-02-01, 6952.
1940-03-01, 6924.
1940-04-01, 6877.
1940-05-01, 6976.
1940-06-01, 6929.
1940-07-01, 6898.
1940-08-01, 6869.
1940-09-01, 6869.
1940-10-01, 7052.
1940-11-01, 7031.
1940-12-01, 6867.
1941-01-01, 7072.
1941-02-01, 7058.
1941-03-01, 6898.
1941-04-01, 6989.
1941-05-01, 6913.
1941-06-01, 6899.
1941-07-01, 6943.
1941-08-01, 6889.
1941-09-01, 6881.
1941-10-01, 6905.
1941-11-01, 6983.
1941-12-01, 6806.
1942-01-01, 6862.
1942-02-01, 6930.
1942-03-01, 6949.
1942-04-01, 6923.
1942-05-01, 6879.
1942-06-01, 6917.
1942-07-01, 6881.
1942-08-01, 6896.
1942-09-01, 6930.
1942-10-01, 7004.
1942-11-01, 7018.
1942-12-01, 6953.
1943-01-01, 6910.
1943-02-01, 6786.
1943-03-01, 6850.
1943-04-01, 6822.
1943-05-01, 6855.
1943-06-01, 6863.
1943-07-01, 6898.
1943-08-01, 6916.
1943-09-01, 6960.
1943-10-01, 7063.
1943-11-01, 7003.
1943-12-01, 6964.
1944-01-01, 6806.
1944-02-01, 6901.
1944-03-01, 6898.
1944-04-01, 6904.
1944-05-01, 6890.
1944-06-01, 6934.
1944-07-01, 6933.
1944-08-01, 7004.
1944-09-01, 6912.
1944-10-01, 6988.
1944-11-01, 6954.
1944-12-01, 6925.
1945-01-01, 6932.
1945-02-01, 6770.
1945-03-01, 6755.
1945-04-01, 6846.
1945-05-01, 6852.
1945-06-01, 6865.
1945-07-01, 6884.
1945-08-01, 6887.
1945-09-01, 6852.
1945-10-01, 6901.
1945-11-01, 7001.
1945-12-01, 6951.
1946-01-01, 6871.
1946-02-01, 6784.
1946-03-01, 6945.
1946-04-01, 6887.
1946-05-01, 6992.
1946-06-01, 6874.
1946-07-01, 6880.
1946-08-01, 6889.
1946-09-01, 6901.
1946-10-01, 6994.
1946-11-01, 7031.
1946-12-01, 6926.
1947-01-01, 6871.
1947-02-01, 7049.
1947-03-01, 7026.
1947-04-01, 6826.
1947-05-01, 6906.
1947-06-01, 6882.
1947-07-01, 6912.
1947-08-01, 6929.
1947-09-01, 6937.
1947-10-01, 6937.
1947-11-01, 6958.
1947-12-01, 7004.
1948-01-01, 6985.
1948-02-01, 6884.
1948-03-01, 6747.
1948-04-01, 6877.
1948-05-01, 6986.
1948-06-01, 6914.
1948-07-01, 6903.
1948-08-01, 6928.
1948-09-01, 6942.
1948-10-01, 6966.
1948-11-01, 6928.
1948-12-01, 6954.
1949-01-01, 6829.
1949-02-01, 6767.
1949-03-01, 6827.
1949-04-01, 6798.
1949-05-01, 6911.
1949-06-01, 6894.
1949-07-01, 6934.
1949-08-01, 6907.
1949-09-01, 6983.
1949-10-01, 6990.
1949-11-01, 7068.
1949-12-01, 6966.
1950-01-01, 6908.
1950-02-01, 6885.
1950-03-01, 6856.
1950-04-01, 6921.
1950-05-01, 6892.
1950-06-01, 6875.
1950-07-01, 6873.
1950-08-01, 6899.
1950-09-01, 6875.
1950-10-01, 6924.
1950-11-01, 6977.
1950-12-01, 7038.
1951-01-01, 6982.
1951-02-01, 7030.
1951-03-01, 6988.
1951-04-01, 6888.
1951-05-01, 6970.
1951-06-01, 6926.
1951-07-01, 6902.
1951-08-01, 7007.
1951-09-01, 7213.
1951-10-01, 7283.
1951-11-01, 7365.
1951-12-01, 7165.
1952-01-01, 7165.
1952-02-01, 7148.
1952-03-01, 7080.
1952-04-01, 7031.
1952-05-01, 7083.
1952-06-01, 7069.
1952-07-01, 7055.
1952-08-01, 7039.
1952-09-01, 7046.
1952-10-01, 7087.
1952-11-01, 6971.
1952-12-01,
1953-01-01,
1953-02-01, 6898.
1953-03-01, 6749.
1953-04-01, 6910.
1953-05-01, 6897.
1953-06-01, 6986.
1953-07-01,
1953-08-01, 6896.
1953-09-01, 6970.
1953-10-01, 7023.
1953-11-01, 6909.
1953-12-01, 6958.
1954-01-01, 6898.
1954-02-01, 6989.
1954-03-01, 6982.
1954-04-01, 6848.
1954-05-01, 6958.
1954-06-01, 6917.
1954-07-01, 6891.
1954-08-01, 6899.
1954-09-01, 6866.
1954-10-01, 6902.
1954-11-01, 7013.
1954-12-01, 6934.
1955-01-01, 7021.
1955-02-01, 7052.
1955-03-01, 6956.
1955-04-01, 6901.
1955-05-01, 6876.
1955-06-01, 6944.
1955-07-01, 6970.
1955-08-01, 6986.
1955-09-01, 6979.
1955-10-01, 7050.
1955-11-01, 7088.
1955-12-01, 7005.
1956-01-01, 6993.
1956-02-01, 6982.
1956-03-01, 6961.
1956-04-01, 6962.
1956-05-01, 6892.
1956-06-01, 6896.
1956-07-01, 6937.
1956-08-01, 6945.
1956-09-01, 6993.
1956-10-01, 6923.
1956-11-01, 6984.
1956-12-01, 6934.
1957-01-01, 6878.
1957-02-01, 6944.
1957-03-01, 6912.
1957-04-01, 6924.
1957-05-01, 6972.
1957-06-01, 6965.
1957-07-01, 6934.
1957-08-01, 6935.
1957-09-01, 6932.
1957-10-01, 7011.
1957-11-01, 7108.
1957-12-01, 7115.
1958-01-01, 7015.
1958-02-01, 6966.
1958-03-01, 7035.
1958-04-01, 7010.
1958-05-01, 6940.
1958-06-01, 6968.
1958-07-01, 6958.
1958-08-01, 6984.
1958-09-01, 6988.
1958-10-01, 7003.
1958-11-01, 7011.
1958-12-01, 7246.
1959-01-01, 7033.
1959-02-01, 6840.
1959-03-01, 6982.
1959-04-01, 6976.
1959-05-01, 7012.
1959-06-01, 7005.
1959-07-01, 6986.
1959-08-01, 6989.
1959-09-01, 7051.
1959-10-01, 7059.
1959-11-01, 7114.
1959-12-01, 7156.
1960-01-01, 7055.
1960-02-01, 7056.
1960-03-01, 7025.
1960-04-01, 6920.
1960-05-01, 6955.
1960-06-01, 6942.
1960-07-01, 6927.
1960-08-01, 6962.
1960-09-01, 6994.
1960-10-01, 7142.
1960-11-01, 7079.
1960-12-01, 7053.
1961-01-01, 6989.
1961-02-01, 6847.
1961-03-01, 6801.
1961-04-01, 6938.
1961-05-01, 6964.
1961-06-01, 6963.
1961-07-01, 6908.
1961-08-01, 6907.
1961-09-01, 6944.
1961-10-01, 7029.
1961-11-01, 7134.
1961-12-01, 7062.
1962-01-01, 7005.
1962-02-01, 6859.
1962-03-01, 7015.
1962-04-01, 6911.
1962-05-01, 6895.
1962-06-01, 6919.
1962-07-01, 6928.
1962-08-01, 6910.
1962-09-01, 6963.
1962-10-01, 7027.
1962-11-01, 7127.
1962-12-01, 7008.
1963-01-01, 7096.
1963-02-01, 7053.
1963-03-01, 6894.
1963-04-01, 6973.
1963-05-01, 6901.
1963-06-01, 6977.
1963-07-01, 6923.
1963-08-01, 6909.
1963-09-01, 6958.
1963-10-01, 6969.
1963-11-01, 7177.
1963-12-01, 7120.
1964-01-01, 6835.
1964-02-01, 6950.
1964-03-01, 7034.
1964-04-01, 6950.
1964-05-01, 6902.
1964-06-01, 6984.
1964-07-01, 6915.
1964-08-01, 6945.
1964-09-01, 6930.
1964-10-01, 6998.
1964-11-01, 6972.
1964-12-01, 7006.
1965-01-01, 6978.
1965-02-01, 6960.
1965-03-01, 6917.
1965-04-01, 6898.
1965-05-01, 6917.
1965-06-01, 6930.
1965-07-01, 6919.
1965-08-01, 6911.
1965-09-01, 7008.
1965-10-01, 7079.
1965-11-01, 7093.
1965-12-01, 6997.
1966-01-01, 6999.
1966-02-01, 7078.
1966-03-01, 6879.
1966-04-01, 6945.
1966-05-01, 6904.
1966-06-01, 6948.
1966-07-01, 6945.
1966-08-01, 6941.
1966-09-01, 6977.
1966-10-01, 7146.
1966-11-01, 7105.
1966-12-01, 6975.
1967-01-01, 6928.
1967-02-01, 6893.
1967-03-01, 6838.
1967-04-01, 6935.
1967-05-01, 6963.
1967-06-01, 6902.
1967-07-01, 6911.
1967-08-01, 6937.
1967-09-01, 6943.
1967-10-01, 6968.
1967-11-01, 7038.
1967-12-01, 6954.
1968-01-01, 6880.
1968-02-01, 6985.
1968-03-01, 6891.
1968-04-01, 6902.
1968-05-01, 6922.
1968-06-01, 6954.
1968-07-01, 6922.
1968-08-01, 6939.
1968-09-01, 6945.
1968-10-01, 6945.
1968-11-01, 7134.
1968-12-01, 7106.
1969-01-01, 7026.
1969-02-01, 7014.
1969-03-01, 7047.
1969-04-01, 6910.
1969-05-01, 6959.
1969-06-01, 6963.
1969-07-01, 6887.
1969-08-01, 6950.
1969-09-01, 7003.
1969-10-01, 6996.
1969-11-01, 7030.
1969-12-01, 7020.
1970-01-01,
1970-02-01, 6896.
1970-03-01, 6953.
1970-04-01, 7030.
1970-05-01, 6998.
1970-06-01, 6947.
1970-07-01, 6941.
1970-08-01, 6966.
1970-09-01, 6949.
1970-10-01, 6907.
1970-11-01, 6993.
1970-12-01, 6885.
1971-01-01,
1971-02-01, 6896.
1971-03-01, 6953.
1971-04-01, 7030.
1971-05-01, 6998.
1971-06-01, 6947.
1971-07-01, 6941.
1971-08-01, 6966.
1971-09-01,
1971-10-01, 6907.
1971-11-01, 6993.
1971-12-01, 6885.
1972-01-01, 6999.
1972-02-01, 7032.
1972-03-01, 6966.
1972-04-01, 6952.
1972-05-01, 6962.
1972-06-01, 6958.
1972-07-01, 6941.
1972-08-01, 6925.
1972-09-01, 7012.
1972-10-01, 7023.
1972-11-01, 6933.
1972-12-01, 6918.
1973-01-01, 6922.
1973-02-01, 6932.
1973-03-01, 6867.
1973-04-01, 6879.
1973-05-01, 6926.
1973-06-01, 6930.
1973-07-01, 6944.
1973-08-01, 6911.
1973-09-01, 6974.
1973-10-01, 6971.
1973-11-01, 6910.
1973-12-01, 6972.
1974-01-01, 6886.
1974-02-01, 6997.
1974-03-01, 6938.
1974-04-01, 6955.
1974-05-01, 6953.
1974-06-01, 6947.
1974-07-01, 6931.
1974-08-01, 6906.
1974-09-01, 6949.
1974-10-01, 6909.
1974-11-01, 6939.
1974-12-01, 6860.
1975-01-01, 6866.
1975-02-01, 6879.
1975-03-01, 6940.
1975-04-01, 6871.
1975-05-01, 6903.
1975-06-01, 6924.
1975-07-01, 6913.
1975-08-01, 6936.
1975-09-01, 6947.
1975-10-01, 6924.
1975-11-01, 6977.
1975-12-01, 6960.
1976-01-01, 6867.
1976-02-01, 6942.
1976-03-01, 6860.
1976-04-01, 6922.
1976-05-01, 6872.
1976-06-01, 6902.
1976-07-01, 6925.
1976-08-01, 6959.
1976-09-01, 6956.
1976-10-01, 7096.
1976-11-01, 7032.
1976-12-01, 7065.
1977-01-01, 7010.
1977-02-01, 7021.
1977-03-01, 6919.
1977-04-01, 6892.
1977-05-01, 6966.
1977-06-01, 6985.
1977-07-01, 6941.
1977-08-01, 6956.
1977-09-01, 6945.
1977-10-01, 7001.
1977-11-01, 6955.
1977-12-01, 6975.
1978-01-01, 6998.
1978-02-01, 7055.
1978-03-01, 6938.
1978-04-01, 6994.
1978-05-01, 6991.
1978-06-01, 6956.
1978-07-01, 6918.
1978-08-01, 6923.
1978-09-01, 6915.
1978-10-01, 6931.
1978-11-01, 6857.
1978-12-01, 7087.
1979-01-01, 7031.
1979-02-01, 7065.
1979-03-01, 6962.
1979-04-01, 6954.
1979-05-01, 6886.
1979-06-01, 6932.
1979-07-01, 6944.
1979-08-01, 6960.
1979-09-01, 6934.
1979-10-01, 7106.
1979-11-01, 6988.
1979-12-01, 6954.
1980-01-01, 6954.
1980-02-01, 6881.
1980-03-01, 6931.
1980-04-01, 6921.
1980-05-01, 6975.
1980-06-01, 6947.
1980-07-01, 6935.
1980-08-01, 6954.
1980-09-01, 6939.
1980-10-01, 7007.
1980-11-01, 7019.
1980-12-01, 6862.
1981-01-01, 6838.
1981-02-01, 6852.
1981-03-01, 6903.
1981-04-01, 6919.
1981-05-01, 6939.
1981-06-01, 6929.
1981-07-01, 6881.
1981-08-01, 6935.
1981-09-01, 6987.
1981-10-01, 6983.
1981-11-01, 6880.
1981-12-01, 7070.
1982-01-01, 6999.
1982-02-01, 6889.
